time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,city,split
2004-01-08,19.9,0.0,52,Nagpur,train
2011-02-03,22.6,0.0,54,Hyderabad,train
2023-09-25,27.4,2.9,86,Ahmedabad,train
2014-10-19,25.9,0.4,69,Hyderabad,train
2017-02-15,25.1,0.0,51,Nagpur,train
2023-12-09,22.7,0.0,70,Hyderabad,train
2010-12-06,15.5,0.0,72,Ludhiana,train
2009-07-16,32.0,0.3,67,Ludhiana,train
2008-06-20,28.4,1.7,75,Patna,train
2021-08-23,28.1,3.6,81,Ahmedabad,train
2005-09-30,25.1,0.2,75,Bhopal,train
2006-08-15,29.8,4.7,78,Delhi,train
2009-09-17,28.5,0.0,72,Delhi,train
2012-09-04,27.4,10.4,86,Delhi,train
2010-08-19,22.8,0.4,78,Bengaluru,train
2009-09-23,27.1,0.7,76,Hyderabad,train
2007-03-28,24.9,0.0,52,Delhi,train
2021-05-24,33.3,0.0,32,Nagpur,train
2005-11-28,17.1,0.0,59,Ludhiana,train
2023-11-09,25.7,12.8,89,Chennai,train
2018-07-08,27.8,12.9,84,Nagpur,train
2013-03-17,19.1,0.0,70,Ludhiana,train
2023-02-21,21.9,0.0,58,Delhi,train
2023-04-23,28.7,0.0,50,Hyderabad,train
2019-07-18,27.7,0.5,82,Ludhiana,train
2020-10-14,27.7,6.8,91,Mumbai,train
2019-09-15,29.1,0.1,78,Ludhiana,train
2005-02-22,18.9,0.0,25,Ahmedabad,train
2009-04-12,31.1,0.0,37,Hyderabad,train
2013-06-06,22.6,7.0,85,Bengaluru,train
2013-07-29,26.2,16.8,87,Mumbai,train
2006-04-14,31.0,0.0,40,Ahmedabad,train
2009-08-23,21.9,6.3,85,Bengaluru,train
2019-07-01,27.4,22.8,84,Nagpur,train
2004-03-18,29.3,0.0,54,Patna,train
2023-09-22,26.4,14.9,91,Mumbai,train
2019-11-14,26.8,0.0,59,Ahmedabad,train
2009-02-18,24.0,0.0,41,Ahmedabad,train
2005-05-24,31.8,0.0,72,Chennai,train
2011-05-29,32.6,0.0,59,Chennai,train
2022-07-07,31.5,0.5,70,Delhi,train
2018-07-06,31.1,0.0,67,Delhi,train
2014-04-30,30.5,0.0,72,Chennai,train
2018-04-19,28.0,0.4,55,Bengaluru,train
2020-02-25,19.1,0.0,84,Patna,train
2022-02-28,25.5,0.0,49,Mumbai,train
2008-06-29,28.4,3.7,81,Delhi,train
2009-07-10,29.1,2.7,78,Patna,train
2011-11-15,22.3,0.0,72,Patna,train
2016-05-08,33.5,0.0,44,Ahmedabad,train
2004-03-07,28.9,0.0,41,Mumbai,train
2020-07-07,29.7,2.6,75,Chennai,train
2016-09-04,26.9,0.0,69,Nagpur,train
2013-09-05,25.0,0.2,78,Bhopal,train
2010-02-25,27.7,0.0,55,Hyderabad,train
2004-02-21,21.0,0.0,66,Patna,train
2024-07-23,30.2,2.5,77,Patna,train
2005-04-25,29.7,0.0,74,Chennai,train
2006-01-25,23.4,0.0,44,Mumbai,train
2011-07-05,31.6,0.2,67,Delhi,train
2015-12-23,25.8,0.0,57,Hyderabad,train
2006-11-14,25.4,0.0,48,Ahmedabad,train
2014-06-04,31.2,0.0,72,Chennai,train
2012-07-23,26.2,0.4,74,Hyderabad,train
2012-12-22,24.9,0.0,68,Mumbai,train
2015-04-09,27.7,0.0,74,Mumbai,train
2019-05-20,29.0,0.0,44,Ludhiana,train
2011-06-13,28.0,0.0,64,Hyderabad,train
2018-06-10,28.4,17.1,86,Mumbai,train
2017-06-09,32.4,0.6,60,Ahmedabad,train
2019-08-22,26.7,8.6,84,Nagpur,train
2004-08-26,25.1,0.4,79,Bhopal,train
2008-05-11,28.7,0.0,71,Mumbai,train
2024-02-27,27.4,0.0,51,Mumbai,train
2021-06-11,31.4,0.0,58,Chennai,train
2013-08-07,24.2,3.5,90,Bhopal,train
2008-10-19,25.4,0.0,71,Patna,train
2022-03-16,30.7,0.0,24,Nagpur,train
2021-03-03,23.3,0.0,31,Bhopal,train
2023-11-27,23.9,0.0,72,Hyderabad,train
2009-06-25,30.2,0.3,72,Ahmedabad,train
2009-02-23,25.9,0.0,34,Bhopal,train
2014-09-10,27.6,0.7,86,Ludhiana,train
2018-11-12,22.9,0.0,42,Bhopal,train
2005-04-22,30.8,0.0,39,Hyderabad,train
2009-03-04,27.9,0.0,20,Bhopal,train
2019-11-26,25.3,0.0,62,Ahmedabad,train
2004-01-02,13.5,0.0,80,Patna,train
2021-08-17,29.4,11.3,85,Patna,train
2017-05-04,28.5,0.0,81,Mumbai,train
2012-12-18,14.9,0.0,64,Ludhiana,train
2015-09-23,29.9,0.0,75,Chennai,train
2020-03-31,28.2,0.0,40,Bhopal,train
2017-04-22,30.8,0.6,39,Ludhiana,train
2021-02-01,22.0,0.0,66,Hyderabad,train
2004-10-21,25.8,7.0,88,Chennai,train
2024-03-08,21.1,0.0,49,Patna,train
2009-12-20,18.6,0.1,76,Bhopal,train
2023-09-26,23.3,1.8,81,Bengaluru,train
2010-07-27,28.1,4.8,81,Ludhiana,train
2018-01-07,21.4,0.0,58,Mumbai,train
2015-10-26,30.0,0.0,67,Mumbai,train
2021-02-14,24.2,0.0,70,Mumbai,train
2016-03-26,25.2,0.0,53,Delhi,train
2020-06-11,33.5,0.0,53,Delhi,train
2008-09-06,26.0,23.3,88,Mumbai,train
2017-08-05,29.9,2.7,70,Chennai,train
2017-02-09,14.7,0.0,72,Delhi,train
2022-03-06,22.5,0.0,37,Bhopal,train
2017-03-03,19.7,0.0,46,Delhi,train
2005-12-08,17.6,0.0,48,Bhopal,train
2013-04-19,27.1,0.0,69,Mumbai,train
2013-12-28,21.9,0.0,57,Nagpur,train
2012-03-10,22.4,0.0,28,Patna,train
2017-10-26,24.7,0.0,51,Delhi,train
2011-01-11,17.0,0.0,49,Nagpur,train
2021-03-27,28.8,0.0,23,Nagpur,train
2022-03-28,29.0,0.0,79,Chennai,train
2022-08-24,27.4,0.8,78,Nagpur,train
2011-05-28,33.4,0.0,45,Ahmedabad,train
2006-11-13,21.8,0.5,65,Ludhiana,train
2021-07-28,26.1,1.9,80,Nagpur,train
2018-05-11,35.2,0.0,34,Ahmedabad,train
2005-08-04,23.8,12.0,87,Hyderabad,train
2014-06-12,31.7,1.7,49,Hyderabad,train
2009-05-23,32.9,0.0,51,Ahmedabad,train
2006-09-22,25.8,1.4,86,Bhopal,train
